Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;33 Asturias;33002 Aller;Industria;2025;19
Total Nacional;33 Asturias;33002 Aller;Industria;2024;20
Total Nacional;33 Asturias;33002 Aller;Industria;2023;20
Total Nacional;33 Asturias;33002 Aller;Industria;2022;22
Total Nacional;33 Asturias;33002 Aller;Industria;2021;25
Total Nacional;33 Asturias;33002 Aller;Industria;2020;26
Total Nacional;33 Asturias;33002 Aller;Industria;2019;25
Total Nacional;33 Asturias;33002 Aller;Industria;2018;26
Total Nacional;33 Asturias;33002 Aller;Industria;2017;28
Total Nacional;33 Asturias;33002 Aller;Industria;2016;25
Total Nacional;33 Asturias;33002 Aller;Industria;2015;25
Total Nacional;33 Asturias;33002 Aller;Industria;2014;19
Total Nacional;33 Asturias;33002 Aller;Industria;2013;19
Total Nacional;33 Asturias;33002 Aller;Industria;2012;20
Total Nacional;33 Asturias;33002 Aller;F Construcción;2025;76
Total Nacional;33 Asturias;33002 Aller;F Construcción;2024;70
Total Nacional;33 Asturias;33002 Aller;F Construcción;2023;67
Total Nacional;33 Asturias;33002 Aller;F Construcción;2022;68
Total Nacional;33 Asturias;33002 Aller;F Construcción;2021;74
Total Nacional;33 Asturias;33002 Aller;F Construcción;2020;69
Total Nacional;33 Asturias;33002 Aller;F Construcción;2019;71
Total Nacional;33 Asturias;33002 Aller;F Construcción;2018;74
Total Nacional;33 Asturias;33002 Aller;F Construcción;2017;71
Total Nacional;33 Asturias;33002 Aller;F Construcción;2016;74
Total Nacional;33 Asturias;33002 Aller;F Construcción;2015;77
Total Nacional;33 Asturias;33002 Aller;F Construcción;2014;78
Total Nacional;33 Asturias;33002 Aller;F Construcción;2013;82
Total Nacional;33 Asturias;33002 Aller;F Construcción;2012;89
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2025;212
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2024;206
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2023;207
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2022;223
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2021;217
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2020;221
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2019;225
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2018;247
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2017;246
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2016;261
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2015;269
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2014;294
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2013;283
Total Nacional;33 Asturias;33002 Aller;Comercio, transporte y hostelería;2012;287
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2025;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2024;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2023;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2022;5
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2021;5
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2020;5
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2019;7
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2018;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2017;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2016;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2015;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2014;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2013;.
Total Nacional;33 Asturias;33002 Aller;J Información y comunicaciones;2012;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2025;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2024;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2023;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2022;6
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2021;7
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2020;8
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2019;8
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2018;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2017;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2016;.
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2015;10
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2014;10
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2013;11
Total Nacional;33 Asturias;33002 Aller;K Actividades financieras y de seguros;2012;11
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2025;18
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2024;15
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2023;17
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2022;19
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2021;17
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2020;19
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2019;16
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2018;15
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2017;13
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2016;10
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2015;.
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2014;.
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2013;.
Total Nacional;33 Asturias;33002 Aller;L Actividades inmobiliarias;2012;.
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2025;42
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2024;41
Total Nacional;33 Asturias;33002 Aller;MN Actividades profesionales y técnicas;2023;49
