"Evolución de la superficie municipal"

"Ámbito territorial";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026"
"33055 Ribadedeva";35.660;35.660;35.660;35.660;35.660;35.660;35.660;35.660;35.660;35.660;35.660;35.660;35.440;35.440;35.440;35.440;35.440;35.440;35.440
"33056 Ribadesella";84.370;84.370;84.370;84.370;84.370;84.370;84.370;84.370;84.370;84.370;84.370;84.370;84.374;84.374;84.374;84.374;84.374;84.374;84.374
"33057 Ribera de Arriba";21.980;21.980;21.980;21.980;21.980;21.980;21.980;21.980;21.980;21.980;21.980;21.980;21.985;21.985;21.985;21.985;21.985;21.985;22.015
"33058 Riosa";46.490;46.490;46.490;46.490;46.490;46.490;46.490;46.490;46.490;46.490;46.490;46.490;46.486;46.486;46.486;46.486;46.486;46.486;46.486
"33059 Salas";227.110;227.110;227.110;227.110;227.110;227.110;227.110;227.110;227.110;227.110;227.110;227.110;227.123;227.123;227.123;227.123;227.123;227.123;227.123
"33060 San Martín del Rey Aurelio";56.130;56.120;56.120;56.120;56.120;56.120;56.120;56.120;56.120;56.140;55.050;55.050;55.049;55.049;55.049;55.049;55.049;55.049;55.049
"33061 San Martín de Oscos";66.560;66.560;66.560;66.560;67.490;67.490;67.490;67.490;67.490;67.480;67.720;67.720;67.715;67.715;67.715;67.715;67.715;67.715;67.715
"33062 Santa Eulalia de Oscos";47.120;47.120;47.120;47.120;47.120;47.120;47.120;47.120;47.120;47.120;47.120;47.120;47.119;47.119;47.119;47.119;47.119;47.119;47.119
"33063 San Tirso de Abres";31.410;31.410;31.410;31.410;31.410;31.410;31.410;31.410;31.410;31.410;31.410;31.410;31.096;31.096;31.096;31.096;31.096;31.096;31.096
"33064 Santo Adriano";22.600;22.600;22.600;22.600;22.600;22.600;22.600;22.600;22.600;22.600;22.600;22.600;22.601;22.601;22.601;22.601;22.601;22.601;23.191
"33065 Sariego";25.720;25.720;25.720;25.720;25.720;25.720;25.720;25.720;25.720;25.720;25.720;25.720;25.718;25.718;25.718;25.718;25.718;25.718;25.718
"33066 Siero";211.600;211.230;211.230;211.230;211.230;211.230;211.230;211.230;211.230;211.230;211.230;211.230;211.241;211.241;211.241;211.241;211.241;211.241;211.256
"33067 Sobrescobio";69.420;69.420;69.420;69.420;69.420;69.420;69.420;69.420;69.420;69.420;69.420;69.420;69.708;69.708;69.708;69.708;69.708;69.708;69.708
"33068 Somiedo";291.380;291.380;291.380;290.100;290.100;290.100;290.100;290.100;290.100;290.100;290.100;290.120;290.117;290.117;290.117;290.117;290.117;290.117;290.117
"33069 Soto del Barco";35.340;35.340;35.340;35.340;35.340;35.340;35.340;35.340;35.340;35.340;35.340;35.340;35.451;35.451;35.451;35.451;35.451;35.451;35.451
"33070 Tapia de Casariego";65.990;65.990;65.990;65.990;65.990;65.990;65.990;65.990;65.990;65.990;65.990;65.990;65.973;65.973;65.973;65.973;65.973;65.973;65.973
"33071 Taramundi";82.160;82.160;82.160;82.160;82.160;82.160;82.160;82.160;82.160;82.160;82.160;82.160;82.164;82.164;82.164;82.164;82.164;82.164;82.164
"33072 Teverga";168.860;173.810;173.810;173.810;173.810;176.060;176.060;176.060;176.060;176.060;176.060;176.310;176.315;176.315;176.315;176.315;176.315;176.315;176.315
"33073 Tineo";540.830;540.830;540.830;540.830;540.830;540.830;540.830;540.830;540.830;540.830;540.830;540.830;540.851;540.851;540.851;540.851;540.851;540.851;540.851
"33074 Vegadeo";82.760;82.760;82.760;82.760;82.760;82.760;82.760;82.760;82.760;82.760;82.760;82.760;83.249;83.249;83.249;83.249;83.249;83.249;83.249
"33075 Villanueva de Oscos";72.980;72.980;72.980;72.980;72.980;72.980;72.980;72.980;72.980;72.980;72.990;72.990;72.986;72.986;72.986;72.986;72.986;72.986;72.986
"33076 Villaviciosa";276.230;276.230;276.230;276.230;276.230;276.230;276.230;276.230;276.230;276.230;276.230;276.230;274.031;274.031;274.031;274.031;274.031;274.031;274.031
"33077 Villayón";132.460;132.460;132.460;132.460;132.460;132.460;132.460;132.460;132.460;132.460;132.460;132.460;132.463;132.463;132.463;132.463;132.463;132.463;132.463
"33078 Yernes y Tameza";31.630;31.630;31.630;31.630;31.630;31.630;31.630;31.630;31.630;31.630;31.630;31.630;31.632;31.632;31.632;31.632;31.632;31.632;31.632
