Nacionalidad;Periodo;Total
Ucrania;1 de abril de 2024;6.100
Ucrania;1 de enero de 2024;..
Ucrania;1 de octubre de 2023;5.200
Ucrania;1 de julio de 2023;5.900
Ucrania;1 de abril de 2023;11.500
Moldavia;1 de abril de 2026;..
Moldavia;1 de enero de 2026;..
Moldavia;1 de octubre de 2025;..
Moldavia;1 de julio de 2025;..
Moldavia;1 de abril de 2025;..
Moldavia;1 de enero de 2025;..
Moldavia;1 de octubre de 2024;..
Moldavia;1 de julio de 2024;..
Moldavia;1 de abril de 2024;..
Moldavia;1 de enero de 2024;..
Moldavia;1 de octubre de 2023;..
Moldavia;1 de julio de 2023;..
Moldavia;1 de abril de 2023;..
Rusia;1 de abril de 2026;..
Rusia;1 de enero de 2026;..
Rusia;1 de octubre de 2025;..
Rusia;1 de julio de 2025;..
Rusia;1 de abril de 2025;..
Rusia;1 de enero de 2025;..
Rusia;1 de octubre de 2024;..
Rusia;1 de julio de 2024;..
Rusia;1 de abril de 2024;..
Rusia;1 de enero de 2024;..
Rusia;1 de octubre de 2023;..
Rusia;1 de julio de 2023;..
Rusia;1 de abril de 2023;..
Otro país del resto de Europa;1 de abril de 2026;..
Otro país del resto de Europa;1 de enero de 2026;..
Otro país del resto de Europa;1 de octubre de 2025;..
Otro país del resto de Europa;1 de julio de 2025;..
Otro país del resto de Europa;1 de abril de 2025;..
Otro país del resto de Europa;1 de enero de 2025;..
Otro país del resto de Europa;1 de octubre de 2024;..
Otro país del resto de Europa;1 de julio de 2024;..
Otro país del resto de Europa;1 de abril de 2024;..
Otro país del resto de Europa;1 de enero de 2024;..
Otro país del resto de Europa;1 de octubre de 2023;..
Otro país del resto de Europa;1 de julio de 2023;..
Otro país del resto de Europa;1 de abril de 2023;..
Argelia;1 de abril de 2026;7.200
Argelia;1 de enero de 2026;6.200
Argelia;1 de octubre de 2025;7.000
Argelia;1 de julio de 2025;6.200
Argelia;1 de abril de 2025;5.900
Argelia;1 de enero de 2025;..
Argelia;1 de octubre de 2024;..
Argelia;1 de julio de 2024;..
Argelia;1 de abril de 2024;..
Argelia;1 de enero de 2024;..
Argelia;1 de octubre de 2023;..
Argelia;1 de julio de 2023;..
Argelia;1 de abril de 2023;..
Gambia;1 de abril de 2026;..
Gambia;1 de enero de 2026;..
Gambia;1 de octubre de 2025;..
Gambia;1 de julio de 2025;..
Gambia;1 de abril de 2025;..
Gambia;1 de enero de 2025;..
Gambia;1 de octubre de 2024;..
Gambia;1 de julio de 2024;..
Gambia;1 de abril de 2024;..
Gambia;1 de enero de 2024;..
Gambia;1 de octubre de 2023;..
Gambia;1 de julio de 2023;..
Gambia;1 de abril de 2023;..
Ghana;1 de abril de 2026;..
Ghana;1 de enero de 2026;..
Ghana;1 de octubre de 2025;..
Ghana;1 de julio de 2025;..
Ghana;1 de abril de 2025;..
Ghana;1 de enero de 2025;..
Ghana;1 de octubre de 2024;..
Ghana;1 de julio de 2024;..
Ghana;1 de abril de 2024;..
Ghana;1 de enero de 2024;..
Ghana;1 de octubre de 2023;..
Ghana;1 de julio de 2023;..
Ghana;1 de abril de 2023;..
Guinea;1 de abril de 2026;..
Guinea;1 de enero de 2026;..
Guinea;1 de octubre de 2025;..
Guinea;1 de julio de 2025;..
Guinea;1 de abril de 2025;..
Guinea;1 de enero de 2025;..
Guinea;1 de octubre de 2024;..
Guinea;1 de julio de 2024;..
Guinea;1 de abril de 2024;..
Guinea;1 de enero de 2024;..
Guinea;1 de octubre de 2023;..
Guinea;1 de julio de 2023;..
Guinea;1 de abril de 2023;..
Guinea Ecuatorial;1 de abril de 2026;..
Guinea Ecuatorial;1 de enero de 2026;..
Guinea Ecuatorial;1 de octubre de 2025;..
Guinea Ecuatorial;1 de julio de 2025;..
Guinea Ecuatorial;1 de abril de 2025;..
Guinea Ecuatorial;1 de enero de 2025;..
Guinea Ecuatorial;1 de octubre de 2024;..
Guinea Ecuatorial;1 de julio de 2024;..
Guinea Ecuatorial;1 de abril de 2024;..
Guinea Ecuatorial;1 de enero de 2024;..
Guinea Ecuatorial;1 de octubre de 2023;..
Guinea Ecuatorial;1 de julio de 2023;..
Guinea Ecuatorial;1 de abril de 2023;..
Mali;1 de abril de 2026;..
Mali;1 de enero de 2026;..
Mali;1 de octubre de 2025;..
Mali;1 de julio de 2025;..
Mali;1 de abril de 2025;..
Mali;1 de enero de 2025;..
Mali;1 de octubre de 2024;..
Mali;1 de julio de 2024;..
Mali;1 de abril de 2024;..
Mali;1 de enero de 2024;..
Mali;1 de octubre de 2023;..
Mali;1 de julio de 2023;..
Mali;1 de abril de 2023;..
Marruecos;1 de abril de 2026;25.700
Marruecos;1 de enero de 2026;22.000
Marruecos;1 de octubre de 2025;23.400
Marruecos;1 de julio de 2025;25.000
Marruecos;1 de abril de 2025;25.900
Marruecos;1 de enero de 2025;27.700
Marruecos;1 de octubre de 2024;25.500
Marruecos;1 de julio de 2024;25.100
Marruecos;1 de abril de 2024;26.000
Marruecos;1 de enero de 2024;25.800
Marruecos;1 de octubre de 2023;24.400
Marruecos;1 de julio de 2023;21.500
Marruecos;1 de abril de 2023;23.200
Mauritania;1 de abril de 2026;..
Mauritania;1 de enero de 2026;..
Mauritania;1 de octubre de 2025;..
Mauritania;1 de julio de 2025;..
Mauritania;1 de abril de 2025;..
Mauritania;1 de enero de 2025;..
Mauritania;1 de octubre de 2024;..
Mauritania;1 de julio de 2024;..
Mauritania;1 de abril de 2024;..
Mauritania;1 de enero de 2024;..
Mauritania;1 de octubre de 2023;..
Mauritania;1 de julio de 2023;..
Mauritania;1 de abril de 2023;..
Nigeria;1 de abril de 2026;..
Nigeria;1 de enero de 2026;..
Nigeria;1 de octubre de 2025;..
Nigeria;1 de julio de 2025;..
Nigeria;1 de abril de 2025;..
Nigeria;1 de enero de 2025;..
Nigeria;1 de octubre de 2024;..
